Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,AWARD_TYPE,SEASON,DWS,DBPM,DRtg,VOTE_POINTS
1,John Starks,31,NYK,84,84,115,0.73,77,26.5,13.8,2.7,2.8,1.2,0.1,0.431,0.369,0.769,5.8,0.136,6MOY,1996-97,,,,84
2,Toni Kukoč,28,CHI,7,7,115,0.061,57,28.2,13.2,4.6,4.5,1.1,0.5,0.471,0.331,0.77,6.9,0.204,6MOY,1996-97,,,,7
3,Chris Gatling,29,TOT,6,6,115,0.052,47,27.3,19.0,7.9,0.6,0.8,0.7,0.525,0.167,0.717,3.9,0.145,6MOY,1996-97,,,,6
4,Terry Mills,29,DET,5,5,115,0.043,79,25.3,10.8,4.8,1.3,0.4,0.3,0.444,0.422,0.829,6.2,0.148,6MOY,1996-97,,,,5
5T,Dell Curry,32,CHH,4,4,115,0.035,68,30.6,14.8,3.1,1.7,0.9,0.2,0.459,0.426,0.803,3.8,0.089,6MOY,1996-97,,,,4
5T,Sam Perkins,35,SEA,4,4,115,0.035,81,24.4,11.0,3.7,1.3,0.9,0.6,0.439,0.395,0.817,7.1,0.173,6MOY,1996-97,,,,4
7T,Bo Outlaw,25,LAC,1,1,115,0.009,82,26.8,7.6,5.5,1.9,1.1,1.7,0.609,0.0,0.504,6.1,0.133,6MOY,1996-97,,,,1
7T,Danny Manning,30,PHO,1,1,115,0.009,77,27.7,13.5,6.1,2.2,1.1,1.0,0.536,0.194,0.721,5.2,0.117,6MOY,1996-97,,,,1
7T,Dominique Wilkins,37,SAS,1,1,115,0.009,63,30.9,18.2,6.4,1.9,0.6,0.5,0.417,0.293,0.803,3.4,0.083,6MOY,1996-97,,,,1
7T,Isaac Austin,27,MIA,1,1,115,0.009,82,22.9,9.7,5.8,1.2,0.5,0.5,0.502,0.0,0.664,4.0,0.102,6MOY,1996-97,,,,1
7T,Mark Davis,23,PHI,1,1,115,0.009,75,22.7,8.5,4.3,1.8,1.1,0.4,0.469,0.258,0.673,2.3,0.065,6MOY,1996-97,,,,1
1,Dikembe Mutombo,30,ATL,60,60,115,0.522,80,37.2,13.3,11.6,1.4,0.6,3.3,0.527,,0.705,11.3,0.183,DPOY,1996-97,6.6,2.4,97.0,60
2,Gary Payton,28,SEA,25,25,115,0.217,82,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193,DPOY,1996-97,4.7,1.1,103.0,25
3,Mookie Blaylock,29,ATL,18,18,115,0.157,78,39.2,17.4,5.3,5.9,2.7,0.3,0.432,0.366,0.753,12.5,0.197,DPOY,1996-97,5.6,2.4,100.0,18
4,Scottie Pippen,31,CHI,4,4,115,0.035,82,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203,DPOY,1996-97,5.2,1.4,101.0,4
5,Michael Jordan,33,CHI,3,3,115,0.026,82,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283,DPOY,1996-97,5.0,1.1,102.0,3
6T,Horace Grant,31,ORL,1,1,115,0.009,67,37.3,12.6,9.0,2.4,1.5,1.0,0.515,0.167,0.715,7.7,0.148,DPOY,1996-97,3.6,1.3,103.0,1
6T,Joe Dumars,33,DET,1,1,115,0.009,79,37.0,14.7,2.4,4.0,0.7,0.0,0.44,0.432,0.867,8.8,0.144,DPOY,1996-97,2.0,-1.0,110.0,1
6T,Mario Elie,33,HOU,1,1,115,0.009,78,34.4,11.7,3.0,4.0,1.2,0.2,0.497,0.42,0.896,8.9,0.159,DPOY,1996-97,2.6,0.7,107.0,1
6T,Rick Fox,27,BOS,1,1,115,0.009,76,34.9,15.4,5.2,3.8,2.2,0.5,0.456,0.363,0.787,5.2,0.094,DPOY,1996-97,1.9,0.7,109.0,1
6T,Shawn Kemp,27,SEA,1,1,115,0.009,81,34.0,18.7,10.0,1.9,1.5,1.0,0.51,0.364,0.742,10.0,0.174,DPOY,1996-97,5.4,0.3,99.0,1
1,Isaac Austin,27,MIA,41,41,115,0.357,82,22.9,9.7,5.8,1.2,0.5,0.5,0.502,0.0,0.664,4.0,0.102,MIP,1996-97,,,,41
11,David Wesley,26,BOS,2,2,115,0.017,74,40.4,16.8,3.6,7.3,2.2,0.2,0.468,0.36,0.781,6.1,0.097,MIP,1996-97,,,,2
12T,Eddie Jones,25,LAL,1,1,115,0.009,80,37.5,17.2,4.1,3.4,2.4,0.6,0.438,0.391,0.819,9.6,0.154,MIP,1996-97,,,,1
12T,Monty Williams,25,SAS,1,1,115,0.009,65,20.7,9.0,3.2,1.4,0.8,0.8,0.509,0.0,0.645,1.2,0.042,MIP,1996-97,,,,1
12T,Rony Seikaly,31,ORL,1,1,115,0.009,74,35.3,17.3,9.5,1.2,0.7,1.4,0.507,0.0,0.714,6.8,0.125,MIP,1996-97,,,,1
12T,Tim Hardaway,30,MIA,1,1,115,0.009,81,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198,MIP,1996-97,,,,1
2,Doug Christie,26,TOR,17,17,115,0.148,81,38.6,14.5,5.3,3.9,2.5,0.6,0.417,0.384,0.775,7.0,0.107,MIP,1996-97,,,,17
3,Rasheed Wallace,22,POR,13,13,115,0.113,62,30.5,15.1,6.8,1.2,0.8,1.0,0.558,0.273,0.638,6.4,0.163,MIP,1996-97,,,,13
4,Voshon Lenard,23,MIA,9,9,115,0.078,73,28.9,12.3,3.0,2.2,0.7,0.2,0.459,0.414,0.819,6.8,0.155,MIP,1996-97,,,,9
5T,Glen Rice,29,CHH,7,7,115,0.061,79,42.6,26.8,4.0,2.0,0.9,0.3,0.477,0.47,0.867,10.8,0.154,MIP,1996-97,,,,7
5T,Kendall Gill,28,NJN,7,7,115,0.061,82,39.0,21.8,6.1,4.0,1.9,0.6,0.443,0.336,0.797,8.8,0.132,MIP,1996-97,,,,7
7,Lindsey Hunter,26,DET,5,5,115,0.043,82,36.9,14.2,2.8,1.9,1.6,0.3,0.404,0.355,0.778,6.4,0.101,MIP,1996-97,,,,5
8,Kevin Garnett,20,MIN,4,4,115,0.035,77,38.9,17.0,8.0,3.1,1.4,2.1,0.499,0.286,0.754,7.3,0.116,MIP,1996-97,,,,4
9T,LaPhonso Ellis,26,DEN,3,3,115,0.026,55,36.4,21.9,7.0,2.4,0.8,0.7,0.439,0.367,0.773,3.6,0.087,MIP,1996-97,,,,3
9T,Tom Gugliotta,27,MIN,3,3,115,0.026,81,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103,MIP,1996-97,,,,3
1,Karl Malone,33,UTA,63,986,1150,0.857,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0.0,0.755,16.7,0.268,MVP,1996-97,,,,986
11,Scottie Pippen,31,CHI,0,6,1150,0.005,82,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203,MVP,1996-97,,,,6
